,pyzx_nCZs,pyzx_totalFidelities,pyzx_totalGateFidelities,pyzx_totalIdleTime,pyzx_totalExecutionTime,standard_nCZs,standard_totalFidelities,standard_totalGateFidelities,standard_totalIdleTime,standard_totalExecutionTime,hybrid_0_1_nCZs,hybrid_0_1_totalFidelities,hybrid_0_1_totalGateFidelities,hybrid_0_1_totalIdleTime,hybrid_0_1_totalExecutionTime,hybrid_0.005_1_nCZs,hybrid_0.005_1_totalFidelities,hybrid_0.005_1_totalGateFidelities,hybrid_0.005_1_totalIdleTime,hybrid_0.005_1_totalExecutionTime,hybrid_0.05_1_nCZs,hybrid_0.05_1_totalFidelities,hybrid_0.05_1_totalGateFidelities,hybrid_0.05_1_totalIdleTime,hybrid_0.05_1_totalExecutionTime,name
0,183.0,0.33858225449816665,0.3602539278250273,91687.79999999946,8347.154545454496,268.0,0.16287556772989709,0.17182008715415814,79006.99999999945,7204.618181818131,188.0,0.31744536217790725,0.3363829485841208,85632.29999999942,7799.699999999947,126.0,0.39266748554085307,0.41590392415199845,84962.24788783702,7737.00023052236,134.0,0.3754723969032818,0.39872145867269576,88785.39352167762,8083.963892499591,basis_trotter_n4.qasm
1,22.0,0.8730653814093179,0.8777434503542169,7897.400000000003,719.0818181818184,10.0,0.9009836919727932,0.9011254503829113,232.49999999999994,22.999999999999996,29.0,0.8527230817102096,0.8545678110783588,3193.599999999997,291.10909090909064,29.0,0.8470992466433432,0.8520073101387968,8537.800000000003,777.8000000000003,29.0,0.8470992466433432,0.8520073101387968,8537.800000000003,777.8000000000003,basis_change_n3.qasm
2,2.0,0.9868496774076759,0.9868683750966928,28.0,2.7,2.0,0.9868480747651013,0.9868683750966929,30.400000000000006,2.9000000000000004,2.0,0.986849677407676,0.9868683750966929,28.0,2.7,2.0,0.986849677407676,0.9868683750966929,28.0,2.7,2.0,0.986849677407676,0.9868683750966929,28.0,2.7,teleportation_n3.qasm
3,1.0,0.9919067123107196,0.9919226196462176,23.700000000000003,2.2,4.0,0.9777871867403921,0.9778138510346069,40.300000000000004,3.8000000000000003,1.0,0.9919067123107197,0.9919226196462178,23.700000000000003,2.2,1.0,0.9919067123107197,0.9919226196462178,23.700000000000003,2.2,1.0,0.9919067123107197,0.9919226196462178,23.700000000000003,2.2,iswap_n2.qasm
4,289.0,0.16807384063493216,0.1727247131079898,40338.41818181798,3685.199999999981,196.0,0.1819274643985996,0.18533276305322627,27406.20909090895,2518.9545454545323,401.0,0.104423487543903,0.10633001737547644,26738.427272727196,2451.699999999992,194.0,0.20282426536567724,0.20872034271635165,42347.832346139134,3869.8467608390683,205.0,0.19637561611367388,0.20031903139727553,29382.293523597124,2698.6101922939006,hhl_n7.qasm
5,1.0,0.9899251432950226,0.9899400140622192,22.200000000000003,2.2,4.0,0.9787695953404841,0.9787926436782853,34.800000000000004,3.3000000000000003,1.0,0.9899251432950227,0.9899400140622193,22.200000000000003,2.2,1.0,0.9899251432950227,0.9899400140622193,22.200000000000003,2.2,1.0,0.9899251432950227,0.9899400140622193,22.200000000000003,2.2,grover_n2.qasm
6,5.0,0.9577946333549282,0.9578620389276757,104.0,10.0,3.0,0.9637629508872674,0.9638347548655722,110.10000000000002,10.600000000000001,8.0,0.9450972395992019,0.9451826827720081,133.6,12.6,4.0,0.9568308173662936,0.9569041768887483,113.30000000000001,10.8,4.0,0.9568308173662936,0.9569041768887483,113.30000000000001,10.8,quantumwalks_n2.qasm
7,38.0,0.8136286541807094,0.8227233572854189,16427.499999999985,1495.5727272727258,89.0,0.6018244940950171,0.6177389227421068,38571.49999999996,3509.854545454542,45.0,0.7818967805391556,0.7930279820297326,20890.299999999974,1900.8090909090886,35.0,0.8110544906371673,0.8237230421694841,22905.10084524877,2084.82734956807,37.0,0.8027268469430381,0.8153496203531172,23057.900845248776,2098.881895022616,vqe_uccsd_n4.qasm
8,195.0,0.3586156978254503,0.37261399674097845,56588.699999999786,5155.00909090907,973.0,0.005220086036795759,0.006242584228945942,264355.20000000345,24062.172727273046,204.0,0.3412313698917315,0.35480298642906966,57638.29999999979,5250.981818181798,183.0,0.3598700445145572,0.37464174775719045,59449.13971901781,5415.600307363185,182.0,0.3369958331130059,0.3530725937202012,68871.60309924533,6272.145736295029,vqe_uccsd_n6.qasm
9,11.0,0.9361189718456843,0.9387562085950621,4157.5,378.55454545454546,8.0,0.9501281161653093,0.951349355432257,1898.3,173.06363636363636,10.0,0.9409188870522922,0.9435642829003769,4149.1,377.75454545454545,6.0,0.9486882058438177,0.9513488792816064,4138.900563499208,376.78186940901895,7.0,0.9056278219665198,0.9075021943142142,3055.5,278.4,fredkin_n3.qasm
10,6.0,0.9642174043209041,0.9664224753345104,3375.8000000000006,307.18181818181824,5.0,0.9659308084652283,0.9674935531455362,2389.0,217.54545454545456,5.0,0.9679455150944443,0.969430961406562,2266.2,206.6909090909091,3.0,0.9728977771167009,0.9743959002742704,2273.9,207.1909090909091,3.0,0.9728977771167009,0.9743959002742704,2273.9,207.1909090909091,bell_n4.qasm
11,9.0,0.9422784127347384,0.9465016111141151,6608.700000000003,601.6363636363639,6.0,0.9582022464353005,0.9601583385767266,3013.7999999999997,274.4090909090909,6.0,0.9555855304241473,0.9582392218574566,4098.3,373.45454545454544,4.0,0.9574453536615546,0.9582387422584263,1224.1011269984172,111.60010245440156,4.0,0.9574453536615546,0.9582387422584263,1224.1011269984172,111.60010245440156,toffoli_n3.qasm
12,82.0,0.6397146964947691,0.6544740340245921,33708.79999999997,3068.872727272724,61.0,0.6778355485418791,0.6868343491392946,19490.299999999992,1776.7727272727266,89.0,0.6295010437774519,0.6365560122946629,16470.299999999992,1502.8454545454538,65.0,0.6783955407268102,0.6882358238555877,21282.31802813655,1940.618181818179,69.0,0.6585432016672015,0.6667205876788287,18237.81859163577,1664.0545966817447,adder_n10.qasm
13,28.0,0.8013318048427044,0.8016537399059271,593.6000000000003,56.10000000000002,28.0,0.7799163753108338,0.780289895966004,707.6000000000004,67.10000000000004,25.0,0.8072346981515839,0.807545015747983,568.0000000000001,54.000000000000014,12.0,0.8358394875606735,0.8361092592361299,476.90140874802165,45.71830988618379,12.0,0.8273321826988448,0.8276095131376456,495.30197224723037,47.34563384065731,dnn_n2.qasm
14,14.0,0.9294696884800582,0.9342395741701834,7564.600000000003,688.2909090909094,11.0,0.9433949080664971,0.9472464656674574,6021.200000000002,547.9272727272729,14.0,0.9307745243249003,0.9342395741701831,5491.4000000000015,500.009090909091,14.0,0.9307745243249003,0.9342395741701831,5491.4000000000015,500.009090909091,14.0,0.9307745243249003,0.9342395741701831,5491.4000000000015,500.009090909091,error_correctiond3_n5.qasm
15,4.0,0.975337526153262,0.9753715156327208,51.5,4.9,4.0,0.9719206483574765,0.971962345295645,63.39999999999999,6.1,4.0,0.9753359422064056,0.9753715156327207,53.900000000000006,5.1000000000000005,4.0,0.9753359422064056,0.9753715156327207,53.900000000000006,5.1000000000000005,4.0,0.9753359422064056,0.9753715156327207,53.900000000000006,5.1000000000000005,linearsolver_n3.qasm
16,15.0,0.9160881137926086,0.9216092752160501,8880.000000000005,808.0454545454551,10.0,0.9383994035168267,0.9407368906400684,3676.600000000001,334.80000000000007,12.0,0.928864534548651,0.9330386619239516,6626.200000000001,603.3000000000001,7.0,0.9370444319838666,0.9407361843814944,5810.901126998419,528.672829727129,7.0,0.9370444319838666,0.9407361843814944,5810.901126998419,528.672829727129,adder_n4.qasm
17,3.0,0.9842803666146094,0.9842984161853718,27.1,2.6,3.0,0.9842803666146094,0.9842984161853718,27.1,2.6,3.0,0.9842803666146094,0.9842984161853718,27.1,2.6,3.0,0.9842803666146094,0.9842984161853718,27.1,2.6,3.0,0.9842803666146094,0.9842984161853718,27.1,2.6,cat_state_n4.qasm
18,21.0,0.8890419046214965,0.8973713659198779,13781.399999999996,1253.6181818181815,12.0,0.9219774905386647,0.9246750565007696,4317.6,393.81818181818187,13.0,0.9194899315498843,0.9236523061055903,6674.800000000001,607.7000000000002,8.0,0.9369225260723719,0.9388558876977781,3046.4000000000005,277.9636363636364,8.0,0.9369225260723719,0.9388558876977781,3046.4000000000005,277.9636363636364,qft_n4.qasm
19,10.0,0.9383835673781057,0.9407364198009599,3700.8,337.1272727272727,6.0,0.9534080593854802,0.9553676170322357,3034.3,276.40909090909093,12.0,0.9271129068647231,0.9293121017770055,3501.3999999999996,319.0363636363636,5.0,0.9434227199813945,0.9456550372263929,3492.7016904976267,318.01833549978426,5.0,0.9434227199813945,0.9456550372263929,3492.7016904976267,318.01833549978426,wstate_n3.qasm
20,8.0,0.9589823826847658,0.9618765383108366,4453.3,405.1545454545455,14.0,0.9299575086916567,0.9337738564447183,6052.300000000002,550.8000000000002,8.0,0.9590750517115789,0.9618765383108364,4310.500000000001,392.34545454545463,8.0,0.9590750517115789,0.9618765383108364,4310.500000000001,392.34545454545463,8.0,0.9590750517115789,0.9618765383108364,4310.500000000001,392.34545454545463,qec_en_n5.qasm
21,3.0,0.9808427324243139,0.9808577986113419,22.7,2.4,8.0,0.9580101460596802,0.9580350393187272,38.4,4.0,3.0,0.980842732424314,0.980857798611342,22.7,2.4,3.0,0.980842732424314,0.980857798611342,22.7,2.4,3.0,0.980842732424314,0.980857798611342,22.7,2.4,hs4_n4.qasm
